name,description
"Бенгальская","Бенгальские кошки — любящие и преданные создания. Игривы и энергичны, при этом демонстрируют недюжинный ум."
"Британская короткошёрстная","Британская короткошёрстная кошка — крупная порода, имеющая массивное, коренастое телосложение. У представителей этой породы широкая грудная клетка и толстый хвост."
"Мейн-кун","Мейн-кун — самая крупная порода кошек. Она отличается мощным, мускулистым телом и крепкими ногами."
"Селкирк-рекс","Селкирк-рекс — кошка среднего размера, при этом из-за тяжелого скелета она весит достаточно много."
"Сфинкс","Главная особенность сфинкса — отсутствие шерсти. Однако кошки не совсем безволосы, а покрыты тонкой пушистой шерстью, похожей на кожуру персика."
